ID pattern;Threshold;Graphs;Rule graphs;Fitting graphs;
PO_78;0.5;4144;60;60;
PO_79;0.5;4144;60;60;
PO_80;0.5;4144;60;60;
PO_81;0.5;4144;60;60;
PO_82;0.5;4144;60;60;
PO_83;0.5;4144;60;60;
PO_84;0.5;4144;76;76;
PO_85;0.5;4144;311;311;
PO_86;0.5;4144;37;37;
PO_87;0.5;4144;37;37;
PO_88;0.5;4144;37;37;
PO_89;0.5;4144;37;37;
PO_90;0.5;4144;37;37;
PO_91;0.5;4144;37;37;
PO_92;0.5;4144;37;37;
PO_93;0.5;4144;37;37;
PO_94;0.5;4144;37;37;
PO_95;0.5;4144;37;37;
PO_96;0.5;4144;54;54;
PO_97;0.5;4144;181;181;
PO_98;0.5;4144;60;60;
PO_99;0.5;4144;60;60;
PO_100;0.5;4144;60;60;
PO_101;0.5;4144;60;60;
PO_102;0.5;4144;60;60;
PO_103;0.5;4144;60;60;
PO_104;0.5;4144;60;60;
PO_105;0.5;4144;60;60;
PO_106;0.5;4144;60;60;
PO_107;0.5;4144;60;60;
PO_108;0.5;4144;96;96;
PO_109;0.5;4144;333;333;
PO_110;0.5;4144;52;52;
PO_111;0.5;4144;61;61;
PO_112;0.5;4144;381;381;
PO_113;0.5;4144;381;381;
PO_114;0.5;4144;381;381;
PO_115;0.5;4144;381;381;
PO_116;0.5;4144;381;381;
PO_117;0.5;4144;381;381;
PO_118;0.5;4144;381;381;
PO_119;0.5;4144;54;54;
PO_120;0.5;4144;54;54;
PO_121;0.5;4144;54;54;
PO_122;0.5;4144;99;99;
PO_123;0.5;4144;91;91;
PO_124;0.5;4144;99;99;
PO_125;0.5;4144;99;99;
PO_126;0.5;4144;91;91;
PO_127;0.5;4144;99;99;
PO_128;0.5;4144;99;99;
PO_129;0.5;4144;91;91;
PO_130;0.5;4144;99;99;
PO_131;0.5;4144;99;99;
PO_132;0.5;4144;91;91;
PO_133;0.5;4144;99;99;
PO_134;0.5;4144;99;99;
PO_135;0.5;4144;91;91;
PO_136;0.5;4144;99;99;
PO_137;0.5;4144;99;99;
PO_138;0.5;4144;91;91;
PO_139;0.5;4144;99;99;
PO_140;0.5;4144;99;99;
PO_141;0.5;4144;91;91;
PO_142;0.5;4144;99;99;
PO_143;0.5;4144;99;99;
PO_144;0.5;4144;91;91;
PO_145;0.5;4144;99;99;
PO_146;0.5;4144;99;99;
PO_147;0.5;4144;91;91;
PO_148;0.5;4144;386;386;
PO_149;0.5;4144;99;99;
PO_150;0.5;4144;99;99;
PO_151;0.5;4144;91;91;
PO_152;0.5;4144;99;99;
PO_153;0.5;4144;54;54;
PO_154;0.5;4144;54;54;
PO_155;0.5;4144;54;54;
PO_156;0.5;4144;54;54;
PO_157;0.5;4144;54;54;
PO_158;0.5;4144;54;54;
PO_159;0.5;4144;54;54;
PO_160;0.5;4144;54;54;
PO_161;0.5;4144;54;54;
PO_162;0.5;4144;54;54;
PO_163;0.5;4144;54;54;
PO_164;0.5;4144;254;254;
PO_165;0.5;4144;378;378;
PO_166;0.5;4144;386;386;
PO_167;0.5;4144;81;81;
PO_168;0.5;4144;81;81;
PO_169;0.5;4144;81;81;
PO_170;0.5;4144;81;81;
PO_171;0.5;4144;81;81;
PO_172;0.5;4144;81;81;
PO_173;0.5;4144;81;81;
PO_174;0.5;4144;81;81;
PO_175;0.5;4144;81;81;
PO_176;0.5;4144;81;81;
PO_177;0.5;4144;96;96;
PO_178;0.5;4144;450;450;
PO_179;0.5;4144;64;64;
PO_180;0.5;4144;72;72;
PO_181;0.5;4144;546;546;
PO_182;0.5;4144;132;132;
PO_183;0.5;4144;142;142;
PO_184;0.5;4144;151;151;
PO_185;0.5;4144;60;60;
PO_186;0.5;4144;192;192;
PO_187;0.5;4144;546;546;
PO_188;0.5;4144;132;132;
PO_189;0.5;4144;142;142;
PO_190;0.5;4144;151;151;
PO_191;0.5;4144;60;60;
PO_192;0.5;4144;192;192;
PO_193;0.5;4144;546;546;
PO_194;0.5;4144;132;132;
PO_195;0.5;4144;142;142;
PO_196;0.5;4144;151;151;
PO_197;0.5;4144;60;60;
PO_198;0.5;4144;192;192;
PO_199;0.5;4144;546;546;
PO_200;0.5;4144;132;132;
PO_201;0.5;4144;142;142;
PO_202;0.5;4144;151;151;
PO_203;0.5;4144;60;60;
PO_204;0.5;4144;192;192;
PO_205;0.5;4144;546;546;
PO_206;0.5;4144;132;132;
PO_207;0.5;4144;142;142;
PO_208;0.5;4144;151;151;
PO_209;0.5;4144;60;60;
PO_210;0.5;4144;192;192;
PO_211;0.5;4144;546;546;
PO_212;0.5;4144;132;132;
PO_213;0.5;4144;142;142;
PO_214;0.5;4144;151;151;
PO_215;0.5;4144;60;60;
PO_216;0.5;4144;192;192;
PO_217;0.5;4144;546;546;
PO_218;0.5;4144;132;132;
PO_219;0.5;4144;142;142;
PO_220;0.5;4144;151;151;
PO_221;0.5;4144;60;60;
PO_222;0.5;4144;192;192;
PO_223;0.5;4144;546;546;
PO_224;0.5;4144;132;132;
PO_225;0.5;4144;142;142;
PO_226;0.5;4144;151;151;
PO_227;0.5;4144;60;60;
PO_228;0.5;4144;192;192;
PO_229;0.5;4144;546;546;
PO_230;0.5;4144;132;132;
PO_231;0.5;4144;142;142;
PO_232;0.5;4144;151;151;
PO_233;0.5;4144;60;60;
PO_234;0.5;4144;192;192;
PO_235;0.5;4144;546;546;
PO_236;0.5;4144;132;132;
PO_237;0.5;4144;142;142;
PO_238;0.5;4144;151;151;
PO_239;0.5;4144;60;60;
PO_240;0.5;4144;192;192;
PO_241;0.5;4144;604;604;
PO_242;0.5;4144;87;44;
PO_243;0.5;4144;76;38;
PO_244;0.5;4144;97;97;
PO_245;0.5;4144;97;97;
PO_246;0.5;4144;249;131;
PO_247;0.5;4144;636;636;
PO_248;0.5;4144;672;672;
PO_249;0.5;4144;93;93;
PO_250;0.5;4144;94;94;
PO_251;0.5;4144;683;683;
PO_252;0.5;4144;93;93;
PO_253;0.5;4144;95;52;
PO_254;0.5;4144;871;871;
PO_255;0.5;4144;311;311;
PO_256;0.5;4144;950;950;
