Index,Case IDs,NumOfCases,IsReliable,"Raw Fitness Cost","Calculation Time (ms)","Num. States","Move-Model Fitness","Trace Fitness","Pre-processing time (ms)","Move-Log Fitness","Trace Length","Exit code of alignment for trace","Approximate memory used (kb)","Number of LPs solved","Queued States",Match
12,"trace_386|trace_611|trace_1595",3,Yes,"1.00","2.79","45.00","0.92","0.96","0.03","1.00","12.00","1.00","6.00","1.00","45.00",[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]RIBPC|[L/M]REPC|[M-REAL]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
13,"trace_421|trace_960|trace_1187",3,Yes,"1.00","2.78","45.00","0.92","0.96","0.03","1.00","12.00","1.00","6.00","1.00","45.00",[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]RIBPC|[M-REAL]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
14,"trace_446|trace_494|trace_555",3,Yes,"1.00","4.20","45.00","0.92","0.96","0.48","1.00","12.00","1.00","6.00","1.00","45.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[M-REAL]LRIRV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
15,"trace_526|trace_1461|trace_1565",3,Yes,"1.00","7.85","45.00","0.92","0.96","0.05","1.00","12.00","1.00","6.00","1.00","45.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[M-REAL]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
16,"trace_930|trace_1329|trace_1666",3,Yes,"1.00","4.75","45.00","0.92","0.96","0.03","1.00","12.00","1.00","6.00","1.00","45.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RBPC|[L/M]RIBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[M-REAL]LRRR|[L/M]FLRRP|[L/M]FRP
17,"trace_504|trace_926",2,Yes,"4.00","9.18","70.00","0.88","0.86","0.16","0.88","16.00","1.00","12.00","2.00","70.00",[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]RIBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[L]SRP|[L]FRP|[M-REAL]SHRRP|[L/M]HRHA|[L/M]SHRRPC|[L/M]MHRRPC|[L/M]FHRRPC|[M-REAL]HRRAN|[L/M]HRRR|[L/M]FHRRP|[L/M]FRP
18,"trace_1289|trace_1954",2,Yes,"5.00","9.85","96.00","1.00","0.84","0.03","0.72","18.00","1.00","17.00","3.00","97.00",[L/M]SRP|[L]FRPP|[L]RIBPC|[L]RBPC|[L]REPC|[L/M]SRPP|[L]REPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
19,"trace_4|trace_10",2,Yes,"6.00","11.38","75.00","0.77","0.77","0.10","0.77","13.00","1.00","16.00","3.00","80.00",[L/M]SRP|[L]FRPP|[M-REAL]SRPP|[L/M]RIBPC|[L/M]RBPC|[L]SRPP|[M-REAL]REPC|[M-REAL]FRPP|[L/M]EPP|[L/M]SLRRP|[L]LRIRV|[L/M]LRIRV|[L/M]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
20,"trace_31|trace_1808",2,Yes,"6.00","12.18","67.00","0.77","0.77","0.16","0.77","13.00","1.00","16.00","3.00","68.00",[L/M]SRP|[L]FRPP|[M-REAL]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L]SRPP|[M-REAL]FRPP|[M-REAL]EPP|[L/M]SLRRP|[L]LRIRV|[L/M]LRIRV|[L/M]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
21,"trace_678|trace_1036",2,Yes,"7.00","22.20","110.00","0.69","0.72","0.10","0.75","12.00","1.00","22.00","4.00","112.00",[L/M]SRP|[L]FRPP|[M-REAL]SRPP|[L/M]RBPC|[L/M]REPC|[L/M]RIBPC|[L]SRPP|[M-REAL]FRPP|[L/M]EPP|[M-REAL]SLRRP|[L/M]LRIRV|[L/M]LRERV|[M-REAL]LRRR|[L/M]FLRRP|[L]LRRR|[L/M]FRP
22,"trace_1154|trace_1396",2,Yes,"7.00","15.88","112.00","0.69","0.72","0.05","0.75","12.00","1.00","22.00","4.00","114.00",[L/M]SRP|[L]FRPP|[M-REAL]SRPP|[L/M]RBPC|[L/M]REPC|[L/M]RIBPC|[L]SRPP|[M-REAL]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[M-REAL]LRERV|[M-REAL]LRRR|[L/M]FLRRP|[L]LRRR|[L/M]FRP
23,"trace_1263|trace_1823",2,Yes,"7.00","17.01","126.00","0.69","0.72","0.08","0.75","12.00","1.00","22.00","4.00","136.00",[L/M]SRP|[L]FRPP|[M-REAL]SRPP|[L/M]REPC|[L/M]RIBPC|[L]SRPP|[M-REAL]RBPC|[M-REAL]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[M-REAL]LRRR|[L/M]FLRRP|[L]LRRR|[L/M]FRP
24,"trace_24|trace_134",2,Yes,"5.00","15.94","72.00","0.77","0.80","0.28","0.83","12.00","1.00","15.00","3.00","77.00",[L/M]SRP|[L]FRPP|[M-REAL]SRPP|[L/M]RIBPC|[L/M]REPC|[L]SRPP|[M-REAL]RBPC|[M-REAL]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
25,"trace_94|trace_1150",2,Yes,"5.00","10.50","64.00","0.77","0.80","0.14","0.83","12.00","1.00","15.00","3.00","65.00",[L/M]SRP|[L]FRPP|[M-REAL]SRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L]SRPP|[M-REAL]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[M-REAL]LRRR|[L/M]FLRRP|[L/M]FRP
26,"trace_369|trace_622",2,Yes,"4.00","7.20","93.00","0.85","0.85","0.04","0.85","13.00","1.00","11.00","2.00","93.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RBPC|[M-REAL]RIBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L]LRIRV|[L/M]LRERV|[M-REAL]LRRR|[L/M]FLRRP|[L]LRRR|[L/M]FRP
27,"trace_806|trace_1117",2,Yes,"5.00","11.01","72.00","0.77","0.80","0.04","0.83","12.00","1.00","15.00","3.00","77.00",[L/M]SRP|[L]FRPP|[M-REAL]SRPP|[L/M]REPC|[L/M]RBPC|[L]SRPP|[M-REAL]RIBPC|[M-REAL]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
28,"trace_809|trace_1761",2,Yes,"4.00","9.64","94.00","0.85","0.85","0.02","0.85","13.00","1.00","11.00","2.00","94.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RIBPC|[M-REAL]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L]LRIRV|[L/M]LRIRV|[L/M]LRERV|[M-REAL]LRRR|[L/M]FLRRP|[L]LRRR|[L/M]FRP
29,"trace_1070|trace_1488",2,Yes,"5.00","10.33","64.00","0.77","0.80","0.03","0.83","12.00","1.00","15.00","3.00","65.00",[L/M]SRP|[L]FRPP|[M-REAL]SRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L]SRPP|[M-REAL]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L/M]LRRR|[M-REAL]FLRRP|[L/M]FRP
30,"trace_1561|trace_1762",2,Yes,"5.00","10.04","72.00","0.77","0.80","0.02","0.83","12.00","1.00","15.00","3.00","77.00",[L/M]SRP|[L]FRPP|[M-REAL]SRPP|[L/M]RBPC|[L/M]REPC|[L]SRPP|[M-REAL]RIBPC|[M-REAL]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
31,"trace_45|trace_880",2,Yes,"3.00","14.11","84.00","0.85","0.88","0.10","0.92","12.00","1.00","11.00","2.00","84.00",[M-REAL]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]RIBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[M-REAL]LRRR|[L/M]FLRRP|[L]LRRR|[L/M]FRP
32,"trace_139|trace_1965",2,Yes,"2.00","6.28","47.00","0.92","0.92","0.07","0.92","13.00","1.00","6.00","1.00","47.00",[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]REPC|[L/M]RIBPC|[L/M]FRPP|[M-REAL]EPP|[L/M]SLRRP|[L/M]LRERV|[L]LRIRV|[L/M]LRIRV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
33,"trace_230|trace_311",2,Yes,"2.00","3.10","47.00","0.92","0.92","0.05","0.92","13.00","1.00","6.00","1.00","47.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L]LRIRV|[M-REAL]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
34,"trace_270|trace_1416",2,Yes,"3.00","6.69","89.00","0.85","0.88","0.06","0.92","12.00","1.00","11.00","2.00","89.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RBPC|[M-REAL]RIBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[M-REAL]LRRR|[L/M]FLRRP|[L]LRRR|[L/M]FRP
35,"trace_310|trace_1264",2,Yes,"3.00","8.23","89.00","0.85","0.88","0.04","0.92","12.00","1.00","11.00","2.00","89.00",[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]RIBPC|[M-REAL]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[M-REAL]LRRR|[L/M]FLRRP|[L]LRRR|[L/M]FRP
36,"trace_422|trace_640",2,Yes,"2.00","3.11","47.00","0.92","0.92","0.02","0.92","13.00","1.00","6.00","1.00","47.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]REPC|[M-REAL]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L]LRIRV|[L/M]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
37,"trace_491|trace_1883",2,Yes,"3.00","8.49","84.00","0.85","0.88","0.08","0.92","12.00","1.00","11.00","2.00","84.00",[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]REPC|[L/M]RIBPC|[L/M]FRPP|[M-REAL]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[M-REAL]LRRR|[L/M]FLRRP|[L]LRRR|[L/M]FRP
38,"trace_803|trace_1464",2,Yes,"3.00","6.48","84.00","0.85","0.88","0.02","0.92","12.00","1.00","11.00","2.00","84.00",[M-REAL]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RIBPC|[L/M]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[M-REAL]LRRR|[L/M]FLRRP|[L]LRRR|[L/M]FRP
39,"trace_977|trace_1341",2,Yes,"3.00","7.27","84.00","0.85","0.88","0.03","0.92","12.00","1.00","11.00","2.00","84.00",[L/M]SRP|[M-REAL]SRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[M-REAL]LRRR|[L/M]FLRRP|[L]LRRR|[L/M]FRP
40,"trace_1112|trace_1511",2,Yes,"3.00","15.34","84.00","0.85","0.88","0.10","0.92","12.00","1.00","11.00","2.00","84.00",[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]RIBPC|[L/M]REPC|[L/M]FRPP|[M-REAL]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[M-REAL]LRRR|[L/M]FLRRP|[L]LRRR|[L/M]FRP
41,"trace_1303|trace_1475",2,Yes,"3.00","6.42","84.00","0.85","0.88","0.02","0.92","12.00","1.00","11.00","2.00","84.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L/M]FRPP|[M-REAL]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[M-REAL]LRRR|[L/M]FLRRP|[L]LRRR|[L/M]FRP
42,"trace_1343|trace_1697",2,Yes,"3.00","6.98","89.00","0.85","0.88","0.02","0.92","12.00","1.00","11.00","2.00","89.00",[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]REPC|[M-REAL]RIBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[M-REAL]LRRR|[L/M]FLRRP|[L]LRRR|[L/M]FRP
43,"trace_1370|trace_1406",2,Yes,"3.00","9.79","84.00","0.85","0.88","0.02","0.92","12.00","1.00","11.00","2.00","84.00",[L/M]SRP|[M-REAL]SRPP|[L/M]RBPC|[L/M]RIBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[M-REAL]LRRR|[L/M]FLRRP|[L]LRRR|[L/M]FRP
44,"trace_1721|trace_1800",2,Yes,"1.00","2.97","48.00","1.00","0.96","0.02","0.93","14.00","1.00","7.00","1.00","48.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RIBPC|[L/M]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[L/M]LRRR|[L]LRIRV|[L/M]FLRRP|[L/M]FRP
45,"trace_52|trace_1326",2,Yes,"1.00","3.58","45.00","0.92","0.96","0.11","1.00","12.00","1.00","6.00","1.00","45.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RIBPC|[M-REAL]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
46,"trace_153|trace_260",2,Yes,"1.00","3.17","45.00","0.92","0.96","0.04","1.00","12.00","1.00","6.00","1.00","45.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L/M]LRRR|[M-REAL]FLRRP|[L/M]FRP
47,"trace_186|trace_398",2,Yes,"1.00","3.19","45.00","0.92","0.96","0.04","1.00","12.00","1.00","6.00","1.00","45.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RBPC|[L/M]RIBPC|[L/M]FRPP|[M-REAL]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
48,"trace_228|trace_1047",2,Yes,"1.00","4.78","45.00","0.92","0.96","0.06","1.00","12.00","1.00","6.00","1.00","45.00",[L/M]SRP|[M-REAL]SRPP|[L/M]RBPC|[L/M]RIBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
49,"trace_317|trace_1981",2,Yes,"1.00","2.69","45.00","0.92","0.96","0.03","1.00","12.00","1.00","6.00","1.00","45.00",[M-REAL]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
50,"trace_412|trace_1073",2,Yes,"1.00","4.04","45.00","0.92","0.96","0.06","1.00","12.00","1.00","6.00","1.00","45.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[L/M]LRRR|[M-REAL]FLRRP|[L/M]FRP
51,"trace_603|trace_1679",2,Yes,"1.00","6.30","45.00","0.92","0.96","0.08","1.00","12.00","1.00","6.00","1.00","45.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[M-REAL]LRIRV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
52,"trace_652|trace_1456",2,Yes,"1.00","5.89","45.00","0.92","0.96","0.06","1.00","12.00","1.00","6.00","1.00","45.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[M-REAL]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
53,"trace_745|trace_994",2,Yes,"1.00","3.59","45.00","0.92","0.96","0.02","1.00","12.00","1.00","6.00","1.00","45.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RBPC|[L/M]RIBPC|[L/M]FRPP|[L/M]EPP|[M-REAL]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
54,"trace_932|trace_1312",2,Yes,"1.00","4.41","44.00","0.92","0.96","0.03","1.00","12.00","1.00","6.00","1.00","44.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L/M]LRRR|[L/M]FLRRP|[M-REAL]FRP
55,"trace_1090|trace_1731",2,Yes,"1.00","2.79","45.00","0.92","0.96","0.02","1.00","12.00","1.00","6.00","1.00","45.00",[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]REPC|[L/M]RIBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[M-REAL]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
56,"trace_1099|trace_1129",2,Yes,"1.00","2.85","45.00","0.92","0.96","0.02","1.00","12.00","1.00","6.00","1.00","45.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]REPC|[M-REAL]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
57,"trace_1215|trace_1957",2,Yes,"1.00","2.90","45.00","0.92","0.96","0.02","1.00","12.00","1.00","6.00","1.00","45.00",[L/M]SRP|[M-REAL]SRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
58,"trace_1344|trace_1870",2,Yes,"1.00","3.20","45.00","0.92","0.96","0.04","1.00","12.00","1.00","6.00","1.00","45.00",[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]REPC|[M-REAL]RIBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
59,"trace_1733|trace_1756",2,Yes,"1.00","2.86","45.00","0.92","0.96","0.02","1.00","12.00","1.00","6.00","1.00","45.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L/M]FRPP|[M-REAL]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
60,"trace_901",1,Yes,"16.00","123.42","771.00","0.81","0.69","0.06","0.76","38.00","1.00","110.00","14.00","794.00",[L/M]SRP|[L]FRPP|[M-REAL]SRPP|[L/M]RBPC|[L/M]REPC|[L/M]RIBPC|[L]SRPP|[M-REAL]FRPP|[L/M]REPP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L/M]FRPP|[L]REPP|[L/M]REPP|[L/M]SRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L/M]FRPP|[L/M]EPP|[L]SRP|[L]FRP|[M-REAL]SHRRP|[L/M]SHRRPC|[L/M]HRRAN|[L/M]AHRRPC|[L/M]HRHA|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L]FRPP|[L/M]AHRRPC|[L/M]FHRRPC|[L/M]RHRRPC|[M-REAL]SHRRPC|[L/M]AHRRPC|[L]FRPP|[L/M]FHRRPC|[L]EPP|[L]SLRRP|[M-REAL]HRRR|[M-REAL]FHRRP|[M-REAL]FRP
61,"trace_1574",1,Yes,"10.00","8.60","201.00","0.88","0.81","0.04","0.88","40.00","1.00","21.00","2.00","201.00",[L/M]SRP|[M-REAL]SRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L/M]FRPP|[L]REPP|[L/M]REPP|[L/M]SRPP|[L/M]REPC|[L/M]RBPC|[L/M]RIBPC|[L/M]FRPP|[L]MHRRPC|[L/M]REPP|[L]LRERV|[L/M]SRPP|[L/M]REPC|[L/M]RIBPC|[L/M]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SHRRP|[L/M]SHRRPC|[L/M]HRHA|[L/M]MHRRPC|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]HRRAN|[M-REAL]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[L]EPP|[L]SLRRP|[M-REAL]HRRR|[M-REAL]FHRRP|[M-REAL]FRP
