Result of replaying ffa3e937-3787-434c-bf4a-424aa7b172c4 [Reduced] [Reduced] on Log (filtered on event attributes)

Index,Case IDs,NumOfCases,IsReliable,"Raw Fitness Cost","Calculation Time (ms)","Num. States","Move-Model Fitness","Trace Fitness","Move-Log Fitness","Trace Length","Queued States",Match
15,"174571|175690|175693|175937|178128|178569|178698|179062|180139|180553|181471|181604|182029|183100|183372|183456|183757|184460|184619|185689|190017|193168|194656|195057|195166|195302|195497",27,Yes,"2.00","1.00","138.00","0.91","0.87","0.91","11.00","217.00",[L/M]start|[L/M]A-SUBMITTED|[L/M]A-PREACCEPTED|[L/M]A-ACCEPTED|[L/M]A-FINALIZED|[L/M]O-SENT|[M-REAL]A-CANCELLED|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Nabellenoffertes|[M-INVI]tau from tree|[L]A-CANCELLED|[L/M]W-Nabellenoffertes|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]end
16,"175831|177633|179983|179992|180097|180142|181112|181243|182179|183462|183582|184102|184228|185285|186715|186727|188696|192864|192882|193038|193756|193783|195184|196611|196801",25,Yes,"2.00","1.00","127.00","0.88","0.83","0.88","8.00","205.00",[L/M]start|[L/M]A-SUBMITTED|[L/M]A-PREACCEPTED|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L]A-DECLINED|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[M-REAL]W-Nabellenoffertes|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]end
17,"174018|174914|175774|176227|178771|179917|182602|182747|182921|182993|183214|186541|189292|189301|189763|189937|190983|194943|195443|196039|196693",21,Yes,"2.00","1.00","157.00","0.92","0.88","0.92","13.00","263.00",[L/M]start|[L/M]A-SUBMITTED|[L/M]A-PREACCEPTED|[L/M]A-ACCEPTED|[L/M]A-FINALIZED|[L/M]O-SENT|[M-REAL]A-CANCELLED|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Nabellenoffertes|[M-INVI]tau from tree|[L/M]W-Nabellenoffertes|[M-INVI]tau from tree|[L/M]W-Nabellenoffertes|[M-INVI]tau from tree|[L]A-CANCELLED|[L/M]W-Nabellenoffertes|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]end
18,"173829|174219|177606|180892|181634|182077|182494|182518|182822|186433|186721|188101|188750|189619|190198|190561|192362|193321|194556|195199|195500",21,Yes,"1.00","1.00","102.00","1.00","0.92","0.88","8.00","200.00",[L/M]start|[L/M]A-SUBMITTED|[L/M]W-Afhandelenleads|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]A-PREACCEPTED|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]W-Afhandelenleads|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]A-DECLINED|[M-INVI]tau from tree|[M-INVI]tau from tree|[L]W-Completerenaanvraag|[L/M]end
19,"174279|175413|175976|176744|177212|178828|179056|180874|181001|181984|182711|183718|184258|189394|190369|191536|191887|192325|194344|196153|196311",21,Yes,"2.00","1.00","118.00","0.90","0.86","0.90","10.00","186.00",[L/M]start|[L/M]A-SUBMITTED|[L/M]A-PREACCEPTED|[L/M]A-ACCEPTED|[L/M]A-FINALIZED|[L/M]O-SENT|[M-REAL]A-CANCELLED|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L]A-CANCELLED|[L/M]W-Nabellenoffertes|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]end
20,"174177|174683|180016|180415|180460|181372|182819|182855|183226|184646|185360|185861|186029|190869|191130|193680|195603|195669|195914|196395",20,Yes,"2.00","1.00","223.00","0.94","0.90","0.94","17.00","414.00",[L/M]start|[L/M]A-SUBMITTED|[L/M]A-PREACCEPTED|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[M-REAL]W-Nabellenoffertes|[M-INVI]tau from tree|[M-INVI]tau from tree|[L]A-CANCELLED|[L/M]end
21,"176096|176302|177008|177155|178233|179471|180400|182572|183856|183943|184231|184922|185533|187298|189661|190770|191917|193566|193795|194109",20,Yes,"2.00","2.00","189.00","0.92","0.88","0.92","12.00","323.00",[L/M]start|[L/M]A-SUBMITTED|[L/M]A-PREACCEPTED|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]W-Afhandelenleads|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L]A-DECLINED|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[M-REAL]W-Nabellenoffertes|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]end
22,"176030|176966|177188|178759|179477|180052|180241|180454|180541|182320|182945|183256|183516|185312|188768|190102|193840|194577|194982|196651",20,Yes,"2.00","1.00","168.00","0.93","0.89","0.93","14.00","290.00",[L/M]start|[L/M]A-SUBMITTED|[L/M]A-PREACCEPTED|[L/M]A-ACCEPTED|[L/M]A-FINALIZED|[L/M]O-SENT|[M-REAL]A-CANCELLED|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Nabellenoffertes|[M-INVI]tau from tree|[L/M]W-Nabellenoffertes|[M-INVI]tau from tree|[L/M]W-Nabellenoffertes|[M-INVI]tau from tree|[L/M]W-Nabellenoffertes|[M-INVI]tau from tree|[L]A-CANCELLED|[L/M]W-Nabellenoffertes|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]end
23,"173796|175141|175251|176015|177092|177230|177537|183700|184622|184889|187825|188965|189622|189979|190743|195542|195633|195833|196660|196723",20,Yes,"3.00","1.00","199.00","0.91","0.81","0.83","12.00","281.00",[L/M]start|[L/M]A-SUBMITTED|[L/M]A-PREACCEPTED|[L]W-Completerenaanvraag|[L/M]A-ACCEPTED|[L/M]A-FINALIZED|[L/M]O-SENT|[M-REAL]A-CANCELLED|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Nabellenoffertes|[M-INVI]tau from tree|[L]A-CANCELLED|[L/M]W-Nabellenoffertes|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]end
24,"174716|175476|177152|179317|179420|181459|181808|182918|185033|185354|185488|185731|187097|189349|190911|191632|192527|192530|195938",19,Yes,"2.00","1.00","139.00","0.90","0.86","0.90","10.00","227.00",[L/M]start|[L/M]A-SUBMITTED|[L/M]A-PREACCEPTED|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L]A-CANCELLED|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[M-REAL]W-Nabellenoffertes|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]end
25,"174433|175594|176149|176470|177059|177248|177779|178272|178626|181249|189214|191058|192452|192596|192891|194236|195521|196557|196762",19,Yes,"2.00","1.00","129.00","0.89","0.85","0.89","9.00","206.00",[L/M]start|[L/M]A-SUBMITTED|[L/M]A-PREACCEPTED|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L]A-CANCELLED|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[M-REAL]W-Nabellenoffertes|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]end
26,"173982|174231|174827|175528|176849|177510|182554|182665|183507|186382|186751|186968|188914|191287|194716|195428|195455|196273|196416",19,Yes,"3.00","1.00","167.00","0.90","0.80","0.82","11.00","243.00",[L/M]start|[L/M]A-SUBMITTED|[L/M]A-PREACCEPTED|[L]W-Completerenaanvraag|[L/M]A-ACCEPTED|[L/M]A-FINALIZED|[L/M]O-SENT|[M-REAL]A-CANCELLED|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L]A-CANCELLED|[L/M]W-Nabellenoffertes|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]end
27,"173937|174710|176702|176711|180784|182954|184357|185252|185539|185852|186902|187933|190255|193825|194514|195494|195551",17,Yes,"2.00","3.00","247.00","0.95","0.91","0.95","19.00","468.00",[L/M]start|[L/M]A-SUBMITTED|[L/M]A-PREACCEPTED|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[M-REAL]W-Nabellenoffertes|[M-INVI]tau from tree|[M-INVI]tau from tree|[L]A-CANCELLED|[L/M]end
28,"174207|174857|175714|176057|179266|180619|181199|181715|182233|188203|188777|188877|190860|191941|193089|195579|196261",17,Yes,"2.00","1.00","177.00","0.91","0.87","0.91","11.00","296.00",[L/M]start|[L/M]A-SUBMITTED|[L/M]A-PREACCEPTED|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]W-Afhandelenleads|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L]A-DECLINED|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[M-REAL]W-Nabellenoffertes|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]end
29,"173751|173979|174430|174487|174875|176266|178966|179302|179342|179429|181730|185789|187367|187385|189202|194644",16,Yes,"4.00","2.00","249.00","0.90","0.75","0.75","12.00","332.00",[L/M]start|[L/M]A-SUBMITTED|[L/M]A-PREACCEPTED|[L]W-Completerenaanvraag|[L/M]A-ACCEPTED|[L/M]A-FINALIZED|[L/M]O-SENT|[M-REAL]A-CANCELLED|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Nabellenoffertes|[M-INVI]tau from tree|[M-INVI]tau from tree|[L]A-APPROVED|[L]W-Validerenaanvraag|[L/M]end
30,"175024|176006|176191|180829|182530|182948|184385|185587|185698|190117|190384|192007|193732|193822|194124",15,Yes,"2.00","1.00","199.00","0.93","0.89","0.93","15.00","360.00",[L/M]start|[L/M]A-SUBMITTED|[L/M]A-PREACCEPTED|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[M-REAL]W-Nabellenoffertes|[M-INVI]tau from tree|[M-INVI]tau from tree|[L]A-CANCELLED|[L/M]end
31,"173958|174457|175380|178834|179968|184982|185569|188950|189181|192912|193393|194266|194305|195672|195932",15,Yes,"2.00","1.00","187.00","0.93","0.89","0.93","14.00","333.00",[L/M]start|[L/M]A-SUBMITTED|[L/M]A-PREACCEPTED|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[M-REAL]W-Nabellenoffertes|[M-INVI]tau from tree|[M-INVI]tau from tree|[L]A-CANCELLED|[L/M]end
32,"173799|174445|176317|176461|177338|178939|179113|180010|182377|185102|185599|187687|188738|195220|195962",15,Yes,"2.00","1.00","136.00","0.89","0.85","0.89","9.00","225.00",[L/M]start|[L/M]A-SUBMITTED|[L/M]A-PREACCEPTED|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L]A-DECLINED|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[M-REAL]W-Nabellenoffertes|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]end
33,"174111|174451|175519|179712|179926|181502|183691|185210|188218|190165|192289|193267|193587|195079|196075",15,Yes,"2.00","2.00","143.00","0.88","0.83","0.88","8.00","224.00",[L/M]start|[L/M]A-SUBMITTED|[L/M]A-PREACCEPTED|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]W-Afhandelenleads|[M-INVI]tau from tree|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L]A-CANCELLED|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[M-REAL]W-Nabellenoffertes|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]end
34,"174508|178593|180877|180980|181787|187214|187720|189517|189616|191929|193065|194203|194481|194970",14,Yes,"1.00","1.00","86.00","0.92","0.94","1.00","12.00","187.00",[L/M]start|[L/M]A-SUBMITTED|[L/M]A-PREACCEPTED|[L/M]A-ACCEPTED|[L/M]A-FINALIZED|[L/M]O-SENT|[M-REAL]A-CANCELLED|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Nabellenoffertes|[M-INVI]tau from tree|[L/M]W-Nabellenoffertes|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]A-DECLINED|[M-INVI]tau split|[L/M]W-Validerenaanvraag|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]end
35,"177317|179372|182134|182278|183432|185255|185270|188332|192274|192927|193041|193369|193885|194287",14,Yes,"3.00","1.00","254.00","0.92","0.83","0.86","14.00","383.00",[L/M]start|[L/M]A-SUBMITTED|[L/M]A-PREACCEPTED|[L/M]A-ACCEPTED|[L/M]A-FINALIZED|[L/M]O-SENT|[M-REAL]A-CANCELLED|[L/M]W-Completerenaanvraag|[M-INVI]tau from tree|[L/M]W-Nabellenoffertes|[M-INVI]tau from tree|[L/M]W-Nabellenoffertes|[M-INVI]tau from tree|[L/M]W-Nabellenoffertes|[M-INVI]tau from tree|[L/M]W-Nabellenoffertes|[M-INVI]tau from tree|[M-INVI]tau from tree|[L]A-APPROVED|[L]W-Validerenaanvraag|[L/M]end
